date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:59	52580/52580	---MCZ	200	added ('OK')	application/javascript	etag:%225d3de548aa0b0b47f2cb29772daecd45-ssl-df%22	https://davis-html.netlify.app/assets/js/lightgallery.min.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/lightgallery.min.js	(from https://davis-html.netlify.app/index2)
15:25:59	8428/8428	---MCZ	200	added ('OK')	application/javascript	etag:%22b4a9b318faa12204a3604dc248bbfabe-ssl-df%22	https://davis-html.netlify.app/assets/js/wow.min.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/wow.min.js	(from https://davis-html.netlify.app/index2)
15:26:00	23364/23364	---MCZ	200	added ('OK')	application/javascript	etag:%22ff415c644c238128f733738354ce6fbb-ssl-df%22	https://davis-html.netlify.app/assets/js/particles.min.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/particles.min.js	(from https://davis-html.netlify.app/index2)
15:26:01	15558/15558	---MCZ	200	added ('OK')	application/javascript	etag:%224217cfb61e0832b20ba157429f7004e2-ssl-df%22	https://davis-html.netlify.app/assets/js/main.js	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/js/main.js	(from https://davis-html.netlify.app/index2)
15:26:01	134878/134878	---MCZ	200	added ('OK')	application/octet-stream	etag:%22c2e0d8ea137c90ad9aba7b006e1dddd9-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-brands-400.eot	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-brands-400.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:02	134878/134878	---M-Z	200	added ('OK')	application/octet-stream	etag:%22c2e0d8ea137c90ad9aba7b006e1dddd9-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-brands-400.eot?	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-brands-400d41d.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:02	77444/77444	---M--	200	added ('OK')	font/woff2	etag:%22cb089c8f4134ad31b20c0638f094b342-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-brands-400.woff2	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-brands-400.woff2	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:03	90872/90872	---MCZ	200	added ('OK')	application/font-woff	etag:%22b7b29ff868f1c477301cc302fcefbdac-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-brands-400.woff	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-brands-400.woff	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:04	134572/134572	---M--	200	added ('OK')	font/ttf	etag:%229f547d063c822f477353f0d8f565600e-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-brands-400.ttf	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-brands-400.ttf	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:04	729325/729325	---MCZ	200	added ('OK')	image/svg+xml	etag:%225ff46d8c672d2c61da7eeebe9e6f7a5f-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-brands-400.svg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-brands-400.svg	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:05	34390/34390	---MCZ	200	added ('OK')	application/octet-stream	etag:%22569fb27d76edcfc00645a4b1898111cb-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-regular-400.eot	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-regular-400.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:05	34390/34390	---M-Z	200	added ('OK')	application/octet-stream	etag:%22569fb27d76edcfc00645a4b1898111cb-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-regular-400.eot?	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-regular-400d41d.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:06	13596/13596	---M--	200	added ('OK')	font/woff2	etag:%2262279c1a17131d7b3f96d1ed2a8ea983-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-regular-400.woff2	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-regular-400.woff2	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:06	16800/16800	---MCZ	200	added ('OK')	application/font-woff	etag:%22826e6b54a86e6ba1b10c1969592582dd-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-regular-400.woff	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-regular-400.woff	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:07	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%2208b09ac76baa96bfbb17cc4ee9237e61-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-regular-400.ttf	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-regular-400.ttf	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:08	144322/144322	---MCZ	200	added ('OK')	image/svg+xml	etag:%228547cfbcb965ee5518b9bb068c751535-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-regular-400.svg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-regular-400.svg	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
15:26:08	204866/204866	---MCZ	200	added ('OK')	application/octet-stream	etag:%22de3b43668c007c620f14f589c71a1fb7-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.eot	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
